original values				detectEVE	original values											detectEVE values												
Contig	name	Host_species	Location	locus	Orientation	Best_viral_match	NR evalue	PFAM evalue	region	element																		
ABQO010065506	n.s.	(Macropus eugenii)	1048-2591	ABQO010065506.1_1063-2876:-	-	EU498687	2.00E-57	1.20E-50	2923-4440	NA	ssDNA	Parvovirus	NA	NA	NA	ABQO01_EVE011	high	100	viral (20)	VDB (15), UDB Viruses (5)	6.14E-99	33	Capsid protein VP1 n=4 Tax=Rat bufavirus SY-2015  RepID=A0A0S2XGD8_9VIRU	Capsid protein VP1 n=4 Tax=Rat bufavirus SY-2015  RepID=A0A0S2XGD8_9VIRU	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Protoparvovirus;s__Protoparvovirus rodent3	Cossaviricota		
ABQO010091390	n.s.	(Macropus eugenii)	1491-2329	ABQO010091390.1_1530-2432:-	-	U48704	2.00E-61	1.80E-25	3604-4410	NA	ssDNA	Dependovirus	NA	NA	NA	ABQO01_EVE014	high	100	viral (20)	VDB (18), capsid (1), UDB Viruses (1)	5.26E-80	48.5	capsid protein [Marsupial adeno-associated virus 1] acc=AZP54392.1	capsid protein [Marsupial adeno-associated virus 1] acc=AZP54392.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Dependoparvovirus;s__Marsupial adeno-associated virus 1	Cossaviricota		
ABQO010193462	n.s.	(Macropus eugenii)	47-1429	ABQO010193462.1_44-1577:-	-	AY390557	3.00E-54	6.30E-64	3055-4428	NA	ssDNA	Parvovirus	NA	NA	NA	ABQO01_EVE096	high	96	viral (19), maybe-viral (1)	VDB (14), UDB Viruses (5), uncharacterized protein (1)	1.25E-86	33.8	VP1 [Hedgehog bufavirus] acc=UMO75517.1	VP1 [Hedgehog bufavirus] acc=UMO75517.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Hedgehog bufavirus	Cossaviricota		
ABQO010212046	n.s.	(Macropus eugenii)	2720-3151	ABQO010212046.1_2446-3151:+	+	FJ217162	2.00E-22	3.70E-32	911-1396	NA	negative sense RNA	Ebolavirus	NA	NA	NA	ABQO01_EVE102	high	95	viral (20), non-viral (1)	VDB (15), UDB Viruses (5), annotated protein of unclassified root superkingdom (1)	1.22E-31	37	nucleoprotein [Bombali ebolavirus] acc=QAT98503.1	nucleoprotein [Bombali ebolavirus] acc=QAT98503.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Filoviridae;g__Orthoebolavirus;s__Orthoebolavirus bombaliense	Negarnaviricota		
ABQO010223025	n.s.	(Macropus eugenii)	1997-2783	ABQO010223025.1_1997-2893:-	-	FJ621583	1.00E-16	3.70E-24	659-1636	NA	negative sense RNA	Ebolavirus	NA	NA	NA	ABQO01_EVE103	high	95	viral (21), non-viral (1)	VDB (16), UDB Viruses (5), annotated protein of unclassified root superkingdom (1)	5.97E-36	34.6	major nucleoprotein [Sudan ebolavirus] acc=ALL26372.1	major nucleoprotein [Sudan ebolavirus] acc=ALL26372.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Filoviridae;g__Orthoebolavirus;s__Orthoebolavirus sudanense	Negarnaviricota		
ABQO010277157	n.s.	Tammar wallaby	693-1503	ABQO010277157.1_373-1657:-	-	FJ621584	1.00E-43	4.70E-71	680-1498	NA	negative sense RNA	Ebolavirus	NA	NA	NA	ABQO01_EVE104	high	95	viral (19), non-viral (1)	VDB (13), UDB Viruses (6), annotated protein of unclassified root superkingdom (1)	5.84E-64	36.6	nucleocapsid protein [Dianlovirus menglaense] acc=YP_010087183.1	nucleocapsid protein [Dianlovirus menglaense] acc=YP_010087183.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Filoviridae;g__Dianlovirus;s__Dianlovirus menglaense	Negarnaviricota		
ABQO010309592	n.s.	(Macropus eugenii)	8756-9234	ABQO010309592.1_8756-9234:-	-	AY058895	9.00E-33	1.20E-46	914-1411	NA	negative sense RNA	Ebolavirus	NA	NA	NA	ABQO01_EVE106	high	95	viral (19), non-viral (1)	VDB (15), UDB Viruses (4), annotated protein of unclassified root superkingdom (1)	3.28E-34	49.7	nucleoprotein [Reston ebolavirus] acc=AYP10275.1	nucleoprotein [Reston ebolavirus] acc=AYP10275.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Filoviridae;g__Orthoebolavirus;s__Orthoebolavirus restonense	Negarnaviricota		
ABQO010318785	n.s.	Tammar wallaby (28)	1-1818	ABQO010318785.1_1-753:-	-	FJ822038	8.00E-79	3.00E-60	1278-3036	NA	ssDNA	Parvovirus	NA	NA	NA	ABQO01_EVE041	high	100	viral (20)	VDB (15), UDB Viruses (4), capsid (1)	7.19E-56	41.5	Capsid protein VP1 n=4331 Tax=root  RepID=CAPSD_FPV	capsid polyprotein [Canine parvovirus] acc=CAE47434.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Protoparvovirus;s__Protoparvovirus carnivoran1	Cossaviricota		
ABQO010318785	n.s.	Tammar wallaby (28)	1-1818	ABQO010318785.1_928-1818:-	-	FJ822038	8.00E-79	3.00E-60	1278-3036	NA	ssDNA	Parvovirus	NA	NA	NA	ABQO01_EVE042	high	100	viral (20)	VDB (16), UDB Viruses (4)	2.04E-107	57.4	nonstructural protein 1 [Megabat bufavirus 1] acc=YP_009241376.1	nonstructural protein 1 [Megabat bufavirus 1] acc=YP_009241376.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Protoparvovirus;s__Protoparvovirus chiropteran1	Cossaviricota		
ABQO010334457	n.s.	(Macropus eugenii)	1750-4391	ABQO010334457.1_2402-4487:+	+	AY684869	5.00E-85	4.50E-68	1719-4428	NA	ssDNA	Parvovirus	NA	NA	NA	ABQO01_EVE045	high	100	viral (21)	VDB (16), UDB Viruses (4), capsid (1)	9.99E-120	34	VP1 [Protoparvovirus carnivoran3] acc=WEA82908.1	VP1 [Protoparvovirus carnivoran3] acc=WEA82908.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Protoparvovirus;s__Protoparvovirus carnivoran3	Cossaviricota		
ABQO010334457	n.s.	(Macropus eugenii)	1750-4391	ABQO010334457.1_1765-2204:+	+	AY684869	5.00E-85	4.50E-68	1719-4428	NA	ssDNA	Parvovirus	NA	NA	NA	ABQO01_EVE044	high	100	viral (22)	VDB (15), UDB Viruses (7)	3.57E-17	38.3	NS1 [Equine protoparvovirus] acc=QXQ21750.1	NS1 [Equine protoparvovirus] acc=QXQ21750.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Protoparvovirus;s__Equine protoparvovirus	Cossaviricota		
ABQO010378232	n.s.	(Macropus eugenii)	12-561	ABQO010378232.1_12-618:-	-	FJ621585	7.00E-09	5.20E-14	3852-4642	NA	negative sense RNA	Ebolavirus	NA	NA	NA	ABQO01_EVE046	high	100	viral (20)	VDB (14), UDB Viruses (6)	1.90E-25	35.3	polymerase complex protein [Reston ebolavirus] acc=AYP10276.1	polymerase complex protein [Reston ebolavirus] acc=AYP10276.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Filoviridae;g__Orthoebolavirus;s__Orthoebolavirus restonense	Negarnaviricota		
ABQO010381849	n.s.	(Macropus eugenii)	1091-1858	ABQO010381849.1_1064-2003:-	-	AY729654	2.00E-43	2.40E-60	875-1645	NA	negative sense RNA	Ebolavirus	NA	NA	NA	ABQO01_EVE107	high	95	viral (19), non-viral (1)	VDB (13), UDB Viruses (6), annotated protein of unclassified root superkingdom (1)	4.44E-56	38.2	nucleoprotein [Reston ebolavirus] acc=AYP10275.1	nucleoprotein [Reston ebolavirus] acc=AYP10275.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Filoviridae;g__Orthoebolavirus;s__Orthoebolavirus restonense	Negarnaviricota		
ABQO010444976	n.s.	(Macropus eugenii)	2723-3869	ABQO010444976.1_3405-3895:-	-	AY390557	4.00E-62	7.90E-20	1410-2673	NA	ssDNA	Dependovirus	NA	NA	NA	ABQO01_EVE053	high	100	viral (23)	VDB (15), UDB Viruses (8)	5.38E-55	59.4	nonstructural protein 1 [Megabat bufavirus 1] acc=YP_009241376.1	nonstructural protein 1 [Megabat bufavirus 1] acc=YP_009241376.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Protoparvovirus;s__Protoparvovirus chiropteran1	Cossaviricota		
ABQO010444976	n.s.	(Macropus eugenii)	2723-3869	ABQO010444976.1_1267-3037:-	-	AY390557	4.00E-62	7.90E-20	1410-2673	NA	ssDNA	Dependovirus	NA	NA	NA	ABQO01_EVE052	high	100	viral (20)	VDB (15), UDB Viruses (4), capsid (1)	1.23E-85	33.8	Capsid protein VP1 n=177 Tax=Parvoviridae  RepID=A0A0E4B1Y8_9VIRU	Capsid protein VP1 n=177 Tax=Parvoviridae  RepID=A0A0E4B1Y8_9VIRU	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__unclassified Parvoviridae species	Cossaviricota		
ABQO010478145	n.s.	(Macropus eugenii)	77-684	ABQO010478145.1_23-684:+	+	FJ968794	8.00E-21	2.40E-29	911-1621	NA	negative sense RNA	Ebolavirus	NA	NA	NA	ABQO01_EVE108	high	95	viral (21), non-viral (1)	VDB (15), UDB Viruses (6), annotated protein of unclassified root superkingdom (1)	6.47E-33	37.3	major nucleoprotein [Sudan ebolavirus] acc=ALL26372.1	major nucleoprotein [Sudan ebolavirus] acc=ALL26372.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Filoviridae;g__Orthoebolavirus;s__Orthoebolavirus sudanense	Negarnaviricota		
ABQO010481652	n.s.	(Macropus eugenii)	712-1284	ABQO010481652.1_712-1305:-	+	AY530611	7.00E-40	1.10E-17	3682-4242	NA	ssDNA	Dependovirus	NA	NA	NA	ABQO01_EVE055	high	100	viral (20)	VDB (18), capsid (1), UDB Viruses (1)	5.37E-58	53.5	capsid protein [Marsupial adeno-associated virus 1] acc=AZP54392.1	capsid protein [Marsupial adeno-associated virus 1] acc=AZP54392.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Dependoparvovirus;s__Marsupial adeno-associated virus 1	Cossaviricota		
ABQO010519946	n.s.	(Macropus eugenii)	60-2355	ABQO010519946.1_242-2349:+	+	AB437434	9.00E-84	7.60E-70	2431-4527	NA	ssDNA	Parvovirus	NA	NA	NA	ABQO01_EVE058	high	100	viral (20)	VDB (15), UDB Viruses (5)	1.37E-129	34.9	Capsid protein VP1 n=177 Tax=Parvoviridae  RepID=A0A0E4B1Y8_9VIRU	Capsid protein VP1 n=177 Tax=Parvoviridae  RepID=A0A0E4B1Y8_9VIRU	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__unclassified Parvoviridae species	Cossaviricota		
ABQO010585938	n.s.	(Macropus eugenii)	1-333	ABQO010585938.1_1-345:+	+	GQ368252	3.00E-17	2.70E-22	336-668	NA	ssDNA	Dependovirus	NA	NA	NA	ABQO01_EVE116	high	90	viral (18), maybe-viral (1), non-viral (1)	VDB (15), UDB Viruses (3), annotated protein of unclassified root superkingdom (1), uncharacterized protein (1)	1.71E-22	36.5	Rep78 [Avian adeno-associated virus] acc=ACU30841.1	Rep78 [Avian adeno-associated virus] acc=ACU30841.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Dependoparvovirus;s__Dependoparvovirus avian1	Cossaviricota		
ABQO010585939	n.s.	Tammar wallaby (11)	126-4049	ABQO010585939.1_150-1597:+	+	AY388617	0	5.90E-123	330-4386	NA	ssDNA	Dependovirus	NA	NA	NA	ABQO01_EVE109	high	95	viral (19), non-viral (1)	VDB (16), UDB Viruses (3), annotated protein of unclassified root superkingdom (1)	1.24E-151	51.6	DNA binding trs helicase [adeno-associated virus 5] acc=YP_068408.1	DNA binding trs helicase [adeno-associated virus 5] acc=YP_068408.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Dependoparvovirus;s__Dependoparvovirus mammalian1	Cossaviricota		
ABQO010585939	n.s.	Tammar wallaby (11)	126-4049	ABQO010585939.1_1879-4034:+	+	AY388617	0	5.90E-123	330-4386	NA	ssDNA	Dependovirus	NA	NA	NA	ABQO01_EVE068	high	100	viral (20)	VDB (19), capsid (1)	3.93E-305	58.5	capsid protein [Marsupial adeno-associated virus 1] acc=AZP54392.1	capsid protein [Marsupial adeno-associated virus 1] acc=AZP54392.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Dependoparvovirus;s__Marsupial adeno-associated virus 1	Cossaviricota		
ABQO010766573	n.s.	(Macropus eugenii)	360-1038	ABQO010766573.1_35-1054:+	+	FJ217162	2.00E-44	2.10E-67	938-1624	NA	negative sense RNA	Ebolavirus	NA	NA	NA	ABQO01_EVE110	high	95	viral (20), non-viral (1)	VDB (14), UDB Viruses (6), annotated protein of unclassified root superkingdom (1)	4.42E-62	40.1	nucleocapsid protein [Dehong virus] acc=WMZ41123.1	nucleocapsid protein [Dehong virus] acc=WMZ41123.1	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Dehong virus	Negarnaviricota		
ABQO010804673	n.s.	(Macropus eugenii)	293-1000	ABQO010804673.1_249-1087:-	-	FJ750955	1.00E-56	1.60E-85	911-1624	NA	negative sense RNA	Ebolavirus	NA	NA	NA	ABQO01_EVE111	high	95	viral (19), non-viral (1)	VDB (13), UDB Viruses (6), annotated protein of unclassified root superkingdom (1)	3.02E-72	48.1	nucleoprotein [Orthomarburgvirus marburgense] acc=AAA46563.1	nucleoprotein [Orthomarburgvirus marburgense] acc=AAA46563.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Filoviridae;g__Orthomarburgvirus;s__Orthomarburgvirus marburgense	Negarnaviricota		
ABQO010853818	n.s.	(Macropus eugenii)	816-1789	ABQO010853818.1_807-1865:-	-	FJ621583	2.00E-36	9.40E-64	647-1630	NA	negative sense RNA	Ebolavirus	NA	NA	NA	ABQO01_EVE112	high	95	viral (19), non-viral (1)	VDB (13), UDB Viruses (6), annotated protein of unclassified root superkingdom (1)	5.11E-48	35.2	nucleocapsid protein [Dehong virus] acc=WMZ41123.1	nucleocapsid protein [Dehong virus] acc=WMZ41123.1	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Dehong virus	Negarnaviricota		
ABQO010889914	n.s.	(Macropus eugenii)	572-1923	ABQO010889914.1_569-1846:+	+	GQ368252	8.00E-74	1.90E-31	510-1826	NA	ssDNA	Dependovirus	NA	NA	NA	ABQO01_EVE113	high	95	viral (19), non-viral (1)	VDB (16), UDB Viruses (3), annotated protein of unclassified root superkingdom (1)	2.04E-122	49.3	nonstructural protein 1 [Duck adeno-associated virus] acc=UAJ21438.1	nonstructural protein 1 [Duck adeno-associated virus] acc=UAJ21438.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Dependoparvovirus;s__Duck adeno-associated virus	Cossaviricota		
ABQO010903052	n.s.	(Macropus eugenii)	518-1113	ABQO010903052.1_496-1113:+	+	FJ688147	3.00E-56	1.80E-46	3037-3642	NA	ssDNA	Dependovirus	NA	NA	NA	ABQO01_EVE083	high	100	viral (21)	VDB (18), UDB Viruses (3)	2.25E-68	55.6	capsid protein VP1 [Dependoparvovirus mammalian1] acc=UMO75526.1	capsid protein VP1 [Dependoparvovirus mammalian1] acc=UMO75526.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Dependoparvovirus;s__Dependoparvovirus mammalian1	Cossaviricota		
ABQO010958468	n.s.	(Macropus eugenii)	613-795	ABQO010958468.1_613-795:+	+	AY695375	1.00E-13	7.6e-12 a	1323-1505	NA	ssDNA	Dependovirus	NA	NA	NA	ABQO01_EVE098	high	96	viral (24), non-viral (1)	VDB (19), UDB Viruses (5), annotated protein of unclassified root superkingdom (1)	4.23E-19	60.7	replication protein [Parvoviridae sp.] acc=QKE54950.1	replication protein [Parvoviridae sp.] acc=QKE54950.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__unclassified Parvoviridae genus;s__Parvoviridae sp.	Cossaviricota		
ABQO011152526	n.s.	(Macropus eugenii)	11-220	ABQO011152526.1_11-549:+	+	DQ447660	5.00E-14	2.70E-25	1343-1552	NA	negative sense RNA	Ebolavirus	NA	NA	NA	ABQO01_EVE114	high	95	viral (19), non-viral (1)	VDB (16), UDB Viruses (3), annotated protein of unclassified root superkingdom (1)	2.33E-24	38	nucleocapsid protein [Dianlovirus menglaense] acc=YP_010087183.1	nucleocapsid protein [Dianlovirus menglaense] acc=YP_010087183.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Filoviridae;g__Dianlovirus;s__Dianlovirus menglaense	Negarnaviricota		
ABQO011172433	n.s.	(Macropus eugenii)	48-525	ABQO011172433.1_5-557:-	-	X75093	3.00E-23	4.1e-06 a	702-1202	NA	ssDNA	Dependovirus	NA	NA	NA	ABQO01_EVE118	high	90	viral (18), non-viral (2)	VDB (14), UDB Viruses (4), annotated protein of unclassified root superkingdom (2)	3.38E-35	44.4	REP [Goose parvovirus] acc=WGJ63685.1	REP [Goose parvovirus] acc=WGJ63685.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Dependoparvovirus;s__Dependoparvovirus anseriform1	Cossaviricota		
ABRO01003680	n.s.	Ord’s kangaroo rat	2720-3221	ABRO01003680.1_2579-3457:-	-	AY374542	1.00E-07	3.90E-10	534-1013	NA	negative sense RNA	Bornavirus	NA	NA	NA	ABRO01_EVE105	high	34	maybe-viral (1), non-viral (1), viral (1)	annotated protein of Eukaryota (1), UDB Viruses (1), uncharacterized protein (1)	3.39E-73	46.2	Nucleoprotein n=1 Tax=Myotis brandtii  RepID=S7PTE0_MYOBR	Nucleoprotein n=1 Tax=finepatterned puffer bornavirus  RepID=A0AA48P913_9MONO	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Bornaviridae;g__unclassified Bornaviridae genus;s__finepatterned puffer bornavirus	Chordata		
ABRO01205910	n.s.	(Dipodomys ordii)	1645-2013	ABRO01205910.1_1145-1977:+	+	FJ217161	7.00E-13	1.50E-19	1205-1558	NA	negative sense RNA	Ebolavirus	NA	NA	NA	ABRO01_EVE059	high	95	viral (19), non-viral (1)	VDB (14), UDB Viruses (5), annotated protein of unclassified root superkingdom (1)	ABRO01205910.1_1145-1977:+	1.96E-26	32.5	Nucleoprotein n=2 Tax=Orthomarburgvirus marburgense  RepID=UPI001F0CDE01	Nucleoprotein n=2 Tax=Orthomarburgvirus marburgense  RepID=UPI001F0CDE01	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Filoviridae;g__Orthomarburgvirus;s__Orthomarburgvirus marburgense	Negarnaviricota	
ABRQ01025914	n.s.	(Procavia capensis)	899-1961	ABRQ01025914.1_909-1831:-	-	FJ169441	4.00E-10	6.90E-07	417-959	NA	negative sense RNA	Bornavirus	NA	NA	NA	ABRQ01_EVE043	high	93	viral (15), non-viral (1)	VDB (7), endogenous (4), UDB Viruses (4), annotated protein of unclassified root superkingdom (1)	1.62E-19	30.8	endogenous bornavirus-like N 1 [Miniopterus schreibersii] acc=BCK51568.1	nucleoprotein [Estrildid finch bornavirus 1] acc=YP_009505423.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Bornaviridae;g__Orthobornavirus;s__Orthobornavirus estrildidae	Negarnaviricota		
ABRQ01135041	n.s.	(Procavia capensis)	4588-4770	ABRQ01135041.1_4570-5334:-	-	AY530574	2.00E-16	2.30E-07	4207-4389	NA	ssDNA	Dependovirus	NA	NA	NA	ABRQ01_EVE008	high	100	viral (21)	VDB (19), capsid (1), UDB Viruses (1)	3.20E-64	54.9	major coat protein VP1 [adeno-associated virus 2] acc=UXD78461.1	major coat protein VP1 [adeno-associated virus 2] acc=UXD78461.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Dependoparvovirus;s__Dependoparvovirus primate1	Cossaviricota		
ABRQ01135041	n.s.	(Procavia capensis)	4754-4966	ABRQ01135041.1_5747-5848:-	-	AY530616	1.00E-10	0.0019	4030-4221	NA	ssDNA	Dependovirus	NA	NA	NA	ABRQ01_EVE009	high	100	viral (20)	VDB (17), UDB Viruses (2), capsid (1)	3.98E-10	64.7	capsid protein [Dependoparvovirus sp.] acc=QKN88776.1	capsid protein [Dependoparvovirus sp.] acc=QKN88776.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Dependoparvovirus;s__Dependoparvovirus sp.	Cossaviricota		
ABRQ01135041	n.s.	(Procavia capensis)	4827-5198	ABRQ01135041.1_5747-5848:-	-	AY530595	6.00E-19	0.0026	3790-4149	NA	ssDNA	Dependovirus	NA	NA	NA	ABRQ01_EVE009	high	100	viral (20)	VDB (17), UDB Viruses (2), capsid (1)	3.98E-10	64.7	capsid protein [Dependoparvovirus sp.] acc=QKN88776.1	capsid protein [Dependoparvovirus sp.] acc=QKN88776.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Dependoparvovirus;s__Dependoparvovirus sp.	Cossaviricota		
ABRQ01135041	n.s.	(Procavia capensis)	5579-5848	ABRQ01135041.1_5747-5848:-	-	AY530575	9.00E-06	0.0026	4045-4284	NA	ssDNA	Dependovirus	NA	NA	NA	ABRQ01_EVE009	high	100	viral (20)	VDB (17), UDB Viruses (2), capsid (1)	3.98E-10	64.7	capsid protein [Dependoparvovirus sp.] acc=QKN88776.1	capsid protein [Dependoparvovirus sp.] acc=QKN88776.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Dependoparvovirus;s__Dependoparvovirus sp.	Cossaviricota		
ABRQ01135041	n.s.	(Procavia capensis)	5998-6327	ABRQ01135041.1_5947-6375:+	+	AY243026	2.00E-24	4.80E-14	2587-2982	NA	ssDNA	Dependovirus	NA	NA	NA	ABRQ01_EVE010	high	100	viral (22)	VDB (17), UDB Viruses (4), capsid (1)	4.29E-36	50.3	capsid protein [Adeno-associated virus] acc=QZX63267.1	capsid protein [Adeno-associated virus] acc=QZX63267.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Dependoparvovirus;s__Adeno-associated virus	Cossaviricota		
ABRQ01260357	n.s.	Cape hyrax	188-970	ABRQ01260357.1_4-1040:-	-	AY388617	4.00E-69	1.50E-28	396-1253	NA	ssDNA	Dependovirus	NA	NA	NA	ABRQ01_EVE041	high	94	viral (19), non-viral (1)	VDB (16), UDB Viruses (3), annotated protein of unclassified root superkingdom (1)	1.97E-103	53	DNA binding trs helicase [adeno-associated virus 5] acc=YP_068408.1	DNA binding trs helicase [adeno-associated virus 5] acc=YP_068408.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Dependoparvovirus;s__Dependoparvovirus mammalian1	Cossaviricota		
ABRQ01360977	n.s.	Cape hyrax	3625-3945	ABRQ01360977.1_3108-4138:+	+	X97629	4.00E-13	3.00E-19	2538-2855	NA	ssDNA	Amdovirus	NA	NA	NA	ABRQ01_EVE021	high	100	viral (22)	VDB (17), UDB Viruses (5)	1.64E-43	34.5	VP1 [Protoparvovirus carnivoran3] acc=WEA82908.1	VP1 [Protoparvovirus carnivoran3] acc=WEA82908.1	k__Viruses;K__Shotokuvirae;p__Cossaviricota;c__Quintoviricetes;o__Piccovirales;f__Parvoviridae;g__Protoparvovirus;s__Protoparvovirus carnivoran3	Cossaviricota		
ABRQ01487990	n.s.	(Procavia capensis)	1859-2518	ABRQ01487990.1_1787-2539:-	-	AY374533	2.00E-06	5.00E-07	90-803	NA	negative sense RNA	Bornavirus	NA	NA	NA	ABRQ01_EVE047	high	89	viral (16), non-viral (2)	endogenous (7), VDB (7), UDB Viruses (2), annotated protein of Eukaryota (1), annotated protein of unclassified root superkingdom (1)	1.88E-12	28	nucleoprotein [Mexican black-tailed rattlesnake bornavirus] acc=YP_010798895.1	nucleoprotein [Mexican black-tailed rattlesnake bornavirus] acc=YP_010798895.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Bornaviridae;g__Orthobornavirus;s__Orthobornavirus caenophidiae	Chordata		
ABRQ01490479	n.s.	(Procavia capensis)	23-517	ABRQ01490479.1_5-484:+	+	DQ680833	8.00E-24	1.50E-30	633-1127	NA	negative sense RNA	Bornavirus	NA	NA	NA	ABRQ01_EVE066	high	62	viral (2), maybe-viral (1)	VDB (2), uncharacterized protein (1)	7.17E-103	95	Uncharacterized protein LOC111819001 isoform X1 n=18 Tax=Afrotheria  RepID=A0A2Y9QAH2_TRIMA	N [Southwest carpet python virus] acc=YP_009508485.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Bornaviridae;g__Carbovirus;s__Carbovirus tapeti	Negarnaviricota		
ABRQ01625290	n.s.	(Procavia capensis)	61-314	ABRQ01625290.1_3-314:-	-	FJ620690	2.00E-10	5.10E-14	492-743	NA	negative sense RNA	Bornavirus	NA	NA	NA	ABRQ01_EVE042	high	94	viral (17), non-viral (1)	endogenous (8), VDB (7), UDB Viruses (2), annotated protein of unclassified root superkingdom (1)	2.10E-13	44.3	nucleoprotein [Estrildid finch bornavirus 1] acc=YP_009505423.1	nucleoprotein [Estrildid finch bornavirus 1] acc=YP_009505423.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Bornaviridae;g__Orthobornavirus;s__Orthobornavirus estrildidae	Chordata		
